"filename", "language", "JSON with Comments", "JSON", "XML", "TypeScript", "CSS", "HTML", "comment", "blank", "total"
"f:\idea_projects\uaclient\.idea\ApifoxUploaderProjectSetting.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 6
"f:\idea_projects\uaclient\.idea\dataSources.xml", "XML", 0, 0, 12, 0, 0, 0, 0, 0, 12
"f:\idea_projects\uaclient\.idea\jsLibraryMappings.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 6
"f:\idea_projects\uaclient\.idea\libraries\file_txt.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 9
"f:\idea_projects\uaclient\.idea\misc.xml", "XML", 0, 0, 17, 0, 0, 0, 0, 0, 17
"f:\idea_projects\uaclient\.idea\modules.xml", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 8
"f:\idea_projects\uaclient\.idea\uaclient.iml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 9
"f:\idea_projects\uaclient\.idea\vcs.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 6
"f:\idea_projects\uaclient\package-lock.json", "JSON", 0, 15866, 0, 0, 0, 0, 0, 1, 15867
"f:\idea_projects\uaclient\package.json", "JSON", 0, 56, 0, 0, 0, 0, 0, 1, 57
"f:\idea_projects\uaclient\src\client\app.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 2, 2
"f:\idea_projects\uaclient\src\client\client.ts", "TypeScript", 0, 0, 0, 60, 0, 0, 0, 9, 69
"f:\idea_projects\uaclient\src\main.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 6, 5, 56
"f:\idea_projects\uaclient\src\platform\base\broker.ts", "TypeScript", 0, 0, 0, 62, 0, 0, 93, 13, 168
"f:\idea_projects\uaclient\src\platform\base\clipboard.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\idea_projects\uaclient\src\platform\base\config.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 7, 33
"f:\idea_projects\uaclient\src\platform\base\error.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 3, 19
"f:\idea_projects\uaclient\src\platform\base\extend.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 2, 3, 27
"f:\idea_projects\uaclient\src\platform\base\log.ts", "TypeScript", 0, 0, 0, 92, 0, 0, 5, 14, 111
"f:\idea_projects\uaclient\src\platform\base\operations.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 15, 5, 32
"f:\idea_projects\uaclient\src\platform\base\persistence.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 1, 10, 63
"f:\idea_projects\uaclient\src\platform\base\postbox.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\idea_projects\uaclient\src\platform\ipc\ipc.events.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 1, 0, 7
"f:\idea_projects\uaclient\src\platform\ipc\ipc.handler.ts", "TypeScript", 0, 0, 0, 51, 0, 0, 0, 8, 59
"f:\idea_projects\uaclient\src\platform\product.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\idea_projects\uaclient\src\plugins\ua.client\common\ua.enums.ts", "TypeScript", 0, 0, 0, 94, 0, 0, 9, 11, 114
"f:\idea_projects\uaclient\src\plugins\ua.client\config\config.default.ts", "TypeScript", 0, 0, 0, 95, 0, 0, 0, 9, 104
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\controllers\certificate.controller.ts", "TypeScript", 0, 0, 0, 53, 0, 0, 0, 4, 57
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\controllers\client.controller.ts", "TypeScript", 0, 0, 0, 87, 0, 0, 0, 8, 95
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\controllers\db.controller.ts", "TypeScript", 0, 0, 0, 53, 0, 0, 0, 4, 57
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\controllers\session.controller.ts", "TypeScript", 0, 0, 0, 138, 0, 0, 1, 12, 151
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\controllers\subscript.controller.ts", "TypeScript", 0, 0, 0, 89, 0, 0, 0, 9, 98
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\middlewares\agent.middleware.ts", "TypeScript", 0, 0, 0, 320, 0, 0, 3, 8, 331
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\middlewares\error.middleware.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 2, 26
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\models\message.model.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 3, 2, 32
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\models\params.model.ts", "TypeScript", 0, 0, 0, 57, 0, 0, 12, 9, 78
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\models\response.model.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 9, 2, 22
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\routers\certificate.router.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 2, 15
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\routers\client.router.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 5, 21
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\routers\db.router.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 4, 2, 19
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\routers\session.router.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 4, 22
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\routers\subscript.router.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 2, 17
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\services\certificate.service.ts", "TypeScript", 0, 0, 0, 41, 0, 0, 53, 9, 103
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\services\client.service.ts", "TypeScript", 0, 0, 0, 80, 0, 0, 2, 11, 93
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\services\db.service.ts", "TypeScript", 0, 0, 0, 123, 0, 0, 20, 5, 148
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\services\session.service.ts", "TypeScript", 0, 0, 0, 124, 0, 0, 10, 12, 146
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\services\subscript.service.ts", "TypeScript", 0, 0, 0, 116, 0, 0, 15, 10, 141
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\ua.servant.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 1, 2, 35
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\utils\util.ts", "TypeScript", 0, 0, 0, 128, 0, 0, 27, 9, 164
"f:\idea_projects\uaclient\src\workbench\assets\dash.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 4
"f:\idea_projects\uaclient\src\workbench\assets\fullscreen.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 4
"f:\idea_projects\uaclient\src\workbench\assets\list.svg", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 5
"f:\idea_projects\uaclient\src\workbench\assets\x.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 3
"f:\idea_projects\uaclient\src\workbench\bootstrap\css\bootstrap-grid.css", "CSS", 0, 0, 0, 0, 4027, 0, 6, 1153, 5186
"f:\idea_projects\uaclient\src\workbench\bootstrap\css\bootstrap-grid.min.css", "CSS", 0, 0, 0, 0, 1, 0, 5, 0, 6
"f:\idea_projects\uaclient\src\workbench\bootstrap\css\bootstrap-grid.rtl.css", "CSS", 0, 0, 0, 0, 4027, 0, 6, 1153, 5186
"f:\idea_projects\uaclient\src\workbench\bootstrap\css\bootstrap-grid.rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 5, 0, 6
"f:\idea_projects\uaclient\src\workbench\bootstrap\css\bootstrap-reboot.css", "CSS", 0, 0, 0, 0, 512, 0, 14, 77, 603
"f:\idea_projects\uaclient\src\workbench\bootstrap\css\bootstrap-reboot.min.css", "CSS", 0, 0, 0, 0, 1, 0, 5, 0, 6
"f:\idea_projects\uaclient\src\workbench\bootstrap\css\bootstrap-reboot.rtl.css", "CSS", 0, 0, 0, 0, 518, 0, 6, 78, 602
"f:\idea_projects\uaclient\src\workbench\bootstrap\css\bootstrap-reboot.rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 5, 0, 6
"f:\idea_projects\uaclient\src\workbench\bootstrap\css\bootstrap-utilities.css", "CSS", 0, 0, 0, 0, 4638, 0, 8, 1351, 5997
"f:\idea_projects\uaclient\src\workbench\bootstrap\css\bootstrap-utilities.min.css", "CSS", 0, 0, 0, 0, 1, 0, 5, 0, 6
"f:\idea_projects\uaclient\src\workbench\bootstrap\css\bootstrap-utilities.rtl.css", "CSS", 0, 0, 0, 0, 4634, 0, 6, 1350, 5990
"f:\idea_projects\uaclient\src\workbench\bootstrap\css\bootstrap-utilities.rtl.min.css", "CSS", 0, 0, 0, 0, 1, 0, 5, 0, 6
"f:\idea_projects\uaclient\src\workbench\bootstrap\css\bootstrap.css", "CSS", 0, 0, 0, 0, 10906, 0, 32, 2510, 13448
"f:\idea_projects\uaclient\src\workbench\bootstrap\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 2, 0, 4, 0, 6
"f:\idea_projects\uaclient\src\workbench\bootstrap\css\bootstrap.rtl.css", "CSS", 0, 0, 0, 0, 10908, 0, 6, 2510, 13424
"f:\idea_projects\uaclient\src\workbench\bootstrap\css\bootstrap.rtl.min.css", "CSS", 0, 0, 0, 0, 2, 0, 4, 0, 6
"f:\idea_projects\uaclient\src\workbench\css\bottom.bar.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
