"filename", "language", "TypeScript", "CSS", "HTML", "XML", "JSON", "comment", "blank", "total"
"f:\idea_projects\uaclient\src\client\client.ts", "TypeScript", 107, 0, 0, 0, 0, 7, 11, 125
"f:\idea_projects\uaclient\src\client\error\error.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 2, 18
"f:\idea_projects\uaclient\src\client\extend\activator.ts", "TypeScript", 26, 0, 0, 0, 0, 1, 4, 31
"f:\idea_projects\uaclient\src\client\extend\extend.ts", "TypeScript", 213, 0, 0, 0, 0, 6, 26, 245
"f:\idea_projects\uaclient\src\client\extend\run.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 2, 8
"f:\idea_projects\uaclient\src\client\product.json", "JSON", 0, 0, 0, 0, 3, 0, 1, 4
"f:\idea_projects\uaclient\src\client\workspace\workspace.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 1, 4
"f:\idea_projects\uaclient\src\platform\base\broker\broker.ts", "TypeScript", 69, 0, 0, 0, 0, 84, 13, 166
"f:\idea_projects\uaclient\src\platform\base\log\log.ts", "TypeScript", 101, 0, 0, 0, 0, 6, 15, 122
"f:\idea_projects\uaclient\src\platform\base\persist\persistence.ts", "TypeScript", 61, 0, 0, 0, 0, 2, 9, 72
"f:\idea_projects\uaclient\src\platform\base\postbox\postbox.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1
"f:\idea_projects\uaclient\src\platform\base\store\store.ts", "TypeScript", 71, 0, 0, 0, 0, 0, 10, 81
"f:\idea_projects\uaclient\src\platform\ipc\events\ipc.events.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 7, 40
"f:\idea_projects\uaclient\src\platform\ipc\handlers\ipc.handler.ts", "TypeScript", 57, 0, 0, 0, 0, 3, 9, 69
"f:\idea_projects\uaclient\src\plugins\ua.client\common\ua.enums.ts", "TypeScript", 94, 0, 0, 0, 0, 9, 11, 114
"f:\idea_projects\uaclient\src\plugins\ua.client\config\config.default.ts", "TypeScript", 95, 0, 0, 0, 0, 0, 9, 104
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\controllers\certificate.controller.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 4, 57
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\controllers\client.controller.ts", "TypeScript", 87, 0, 0, 0, 0, 0, 8, 95
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\controllers\db.controller.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 4, 57
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\controllers\session.controller.ts", "TypeScript", 138, 0, 0, 0, 0, 1, 12, 151
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\controllers\subscript.controller.ts", "TypeScript", 89, 0, 0, 0, 0, 0, 9, 98
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\middlewares\agent.middleware.ts", "TypeScript", 335, 0, 0, 0, 0, 3, 8, 346
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\middlewares\error.middleware.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 2, 26
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\models\message.model.ts", "TypeScript", 27, 0, 0, 0, 0, 3, 2, 32
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\models\params.model.ts", "TypeScript", 57, 0, 0, 0, 0, 12, 9, 78
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\models\response.model.ts", "TypeScript", 11, 0, 0, 0, 0, 9, 2, 22
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\routers\certificate.router.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 2, 15
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\routers\client.router.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 5, 21
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\routers\db.router.ts", "TypeScript", 13, 0, 0, 0, 0, 4, 2, 19
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\routers\session.router.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 4, 22
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\routers\subscript.router.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 2, 17
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\services\certificate.service.ts", "TypeScript", 41, 0, 0, 0, 0, 53, 9, 103
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\services\client.service.ts", "TypeScript", 80, 0, 0, 0, 0, 2, 11, 93
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\services\db.service.ts", "TypeScript", 123, 0, 0, 0, 0, 21, 6, 150
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\services\session.service.ts", "TypeScript", 124, 0, 0, 0, 0, 10, 12, 146
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\services\subscript.service.ts", "TypeScript", 116, 0, 0, 0, 0, 15, 10, 141
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\ua.servant.ts", "TypeScript", 34, 0, 0, 0, 0, 2, 3, 39
"f:\idea_projects\uaclient\src\plugins\ua.client\ua.servant\utils\util.ts", "TypeScript", 128, 0, 0, 0, 0, 27, 9, 164
"f:\idea_projects\uaclient\src\workbench\assets\dash.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 4
"f:\idea_projects\uaclient\src\workbench\assets\fullscreen.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 4
"f:\idea_projects\uaclient\src\workbench\assets\list.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 5
"f:\idea_projects\uaclient\src\workbench\assets\x.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 3
"f:\idea_projects\uaclient\src\workbench\css\common.css", "CSS", 0, 24, 0, 0, 0, 1, 4, 29
"f:\idea_projects\uaclient\src\workbench\css\index.css", "CSS", 0, 139, 0, 0, 0, 4, 4, 147
"f:\idea_projects\uaclient\src\workbench\element-ui\css\index.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 1
"f:\idea_projects\uaclient\src\workbench\index.html", "HTML", 0, 0, 23, 0, 0, 25, 0, 48
"f:\idea_projects\uaclient\src\workbench\workbench.ts", "TypeScript", 89, 0, 0, 0, 0, 13, 10, 112
"Total", "-", 2636, 164, 23, 16, 3, 323, 284, 3449
